X,Y,region,sh,rs,rp,description,lane,type,equipmentcurrent,accepteddays,siteref,sitetype,percentheavy,aadt5yearsago,aadt4yearsago,aadt3yearsago,aadt2yearsago,aadt1yearago,OBJECTID
1672263.6711,6027628.1093,01 - Northland,12,132,8.36999988555908,About 1.5km north of Babylon Coast Rd (about 9km north of Dargaville),Both,Non-Continuous,Dual Loop,28.0,01200141,Regional Non-Continuous,9.3,1132.0,1042.0,1047.0,1140.0,1102.0,19
1678144.4087,6021980.0712,01 - Northland,12,132,19.2700004577637,Between Kings Court Av and Logan St Dargaville ,Both,Non-Continuous,Dual Loop,21.0,01200151,Regional Non-Continuous,5.2,5870.0,6137.0,6147.0,6620.0,5915.0,20
1684230.0364,6013818.4219,01 - Northland,12,153,10.3500003814697,North of Curnows Culvert approx 250m south of Mittai Road Mittai,Both,Non-Continuous,Dual Loop,21.0,01200163,Regional Non-Continuous,8.6,2022.0,2033.0,1916.0,2110.0,2126.0,21
1708202.3984,6002273.5352,01 - Northland,12,185,14.1999998092651,About 1.5km east of Ararua Rd 1km west of Petley Rd,Both,Non-Continuous,Dual Loop,,01200198,Regional Non-Continuous,,2199.0,1972.0,2208.0,2354.0,,22
1720323.9801,6002006.9656,01 - Northland,12,202,11.4840002059937,East of Blakey Rd by Maungatoroto Stockpile ,Both,Non-Continuous,Dual Loop,28.0,01200214,Regional Non-Continuous,13.0,3270.0,3351.0,,3696.0,4000.0,23
1726239.608,6004396.1206,01 - Northland,12,202,18.3400001525879,East of Brynderwyn Brg 161 (about 2.2km from SH1),Both,Continuous,Dual Loop,267.0,01200220,Regional Continuous,11.9,3719.0,3486.0,3786.0,4151.0,4381.0,24
1718253.1818,6044840.8414,01 - Northland,14,0,0.230000004172325,Maunu Road Whangarei about 200m from SH1,Both,Continuous,Dual Loop,236.0,01400000,Regional Continuous,2.3,20102.0,21085.0,20848.0,21246.0,21767.0,25
1715639.49,6043864.6808,01 - Northland,14,0,3.26999998092651,West of Kowhai Park Rd Whangarei,Both,Non-Continuous,Dual Loop,,01400002,Regional Non-Continuous,,11947.0,12335.0,11945.0,12308.0,,26
1714769.9353,6043805.5427,01 - Northland,14,0,4.22399997711182,Maunu West of Austin Road Whangarei ,Both,Non-Continuous,Dual Loop,28.0,01400004,Regional Non-Continuous,2.9,9746.0,9924.0,9835.0,9915.0,10095.0,27
1710677.0633,6043930.3405,01 - Northland,14,0,8.59000015258789,East of Kara Rd,Both,Non-Continuous,Dual Loop,28.0,01400009,Regional Non-Continuous,3.6,6084.0,6752.0,6315.0,6601.0,6513.0,28
1705611.2199,6039776.3389,01 - Northland,14,15,0.850000023841858,MAUNGATAPERE - Telemetry Site 104 ,Both,National,Telemetry,314.0,01400016,Telemetry,10.3,2973.0,3172.0,3086.0,3042.0,3191.0,29
1691657.8788,6034495.2038,01 - Northland,14,30,3.1800000667572,East of Kara Rd (about 7km west of SH1 Whangarei),Both,Non-Continuous,Dual Loop,21.0,01400034,Regional Non-Continuous,12.0,2151.0,2290.0,2224.0,2274.0,2286.0,30
1680194.2641,6027022.6325,01 - Northland,14,44,6.76000022888184,East of Te Wharau Rd about 5km north of SH12 Dargaville,Both,Non-Continuous,Dual Loop,28.0,01400052,Regional Non-Continuous,10.8,2562.0,2732.0,2639.0,2665.0,2779.0,31
1675178.7034,6088982.0267,01 - Northland,15,0,0.231000006198883,Te Pua Rd S of SH1,Both,Non-Continuous,Dual Loop,28.0,01500001,Regional Non-Continuous,3.6,2002.0,1991.0,2048.0,1973.0,1741.0,32
1673377.3615,6080658.1487,01 - Northland,15,9,1.16499996185303,Mangakahia Road Kaikohe S of,Both,Continuous,Dual Loop,351.0,01500011,Regional Continuous,5.1,2169.0,2218.0,2263.0,2339.0,2425.0,33
1675750.0075,6072665.04,01 - Northland,15,9,10.2740001678467,Mangakahia Road Tautoro S of,Both,Non-Continuous,Dual Loop,21.0,01500020,Regional Non-Continuous,8.5,707.0,651.0,661.0,730.0,717.0,34
1676620.3129,6057535.38,01 - Northland,15,27,9.88700008392334,Mangakahia Road N of Twin Bridges,Both,Non-Continuous,Dual Loop,28.0,01500037,Regional Non-Continuous,10.2,535.0,515.0,616.0,519.0,529.0,35
1680761.7143,6051051.8469,01 - Northland,15,44,2.06599998474121,Mangakahia Road Pakotai N of,Both,Non-Continuous,Dual Loop,21.0,01500046,Regional Non-Continuous,12.8,560.0,524.0,570.0,550.0,483.0,36
1686011.7339,6047287.6815,01 - Northland,15,44,9.5620002746582,Mangakahia Road Parakao E of,Both,Non-Continuous,Dual Loop,28.0,01500053,Regional Non-Continuous,11.8,620.0,775.0,552.0,731.0,578.0,37
1695982.7002,6045171.3975,01 - Northland,15,54,12.6899995803833,Mangakahia Road Titoki E of,Both,Non-Continuous,Dual Loop,14.0,01500066,Regional Non-Continuous,9.2,1122.0,1259.0,1230.0,1347.0,1101.0,38
1705253.8363,6043222.1576,01 - Northland,15,69,7.71000003814697,Mangakahia Road Maungatapere W of,Both,Non-Continuous,Dual Loop,27.0,01500077,Regional Non-Continuous,5.6,2021.0,2212.0,2063.0,2158.0,2124.0,39
1709946.8188,6042117.1841,01 - Northland,15,81,0.964999973773956,Otaika Valley Road Maungatapere E of,Both,Continuous,Dual Loop,354.0,01500082,Regional Continuous,13.4,1544.0,1627.0,1544.0,1571.0,1756.0,40
1717448.9319,6039399.6843,01 - Northland,15,81,9.69999980926514,Otaika Valley Road Otaika W of,Both,Non-Continuous,Dual Loop,28.0,01500091,Regional Non-Continuous,11.2,2104.0,2242.0,2170.0,2139.0,2350.0,41
1732636.9838,6031369.6109,01 - Northland,15A,111,6.00699996948242,Port Marsden Highwaybetween Bens View Rd & Rama Rd ,Both,Continuous,Dual Loop,361.0,15A00006,Regional Continuous,15.9,3860.0,3952.0,3957.0,3644.0,3670.0,42
1585328.6452,6180648.1625,01 - Northland,1N,0,20.0300006866455,North of Te Hapua Rd,Both,Non-Continuous,Dual Loop,20.0,01N00020,Regional Non-Continuous,4.4,,161.0,262.0,267.0,316.0,43
1585281.7443,6180301.1658,01 - Northland,1N,20,0.354000002145767,South of Te Hapua Rd about 100m S of restaurant/service station.,Both,Non-Continuous,Dual Loop,27.0,01N00021,Regional Non-Continuous,6.5,336.0,225.0,314.0,353.0,479.0,44
1609890.5088,6149403.8143,01 - Northland,1N,65,2.5,Sth of Motutango S of Salvation Rd (600m S of Turk Valley Rd),Both,Non-Continuous,Dual Loop,14.0,01N00067,Regional Non-Continuous,6.1,1234.0,1215.0,1299.0,1400.0,1504.0,45
1619566.9379,6124929.4617,01 - Northland,1N,83,13.789999961853,Nth of Ninety Mile Beach Rd (about 1.5km S of Waiharara),Both,Non-Continuous,Dual Loop,21.0,01N00097,Regional Non-Continuous,7.9,1904.0,1939.0,2070.0,2196.0,2143.0,46
1623224.6776,6122901.8918,01 - Northland,1N,83,18.5900001525879,Sth of Spains Rd (about 400m S of Big Flat Rd/Srhoj Rd),Both,Non-Continuous,Dual Loop,21.0,01N00102,Regional Non-Continuous,5.4,3561.0,3716.0,3724.0,3956.0,4111.0,47
1623502.0236,6119167.7012,01 - Northland,1N,104,2.66000008583069,Sth of Brott Rd (2km S of SH10 at Awanui),Both,Continuous,Dual Loop,330.0,01N00107,Regional Continuous,4.4,7465.0,7863.0,7889.0,8386.0,8409.0,48
1624167.9359,6114420.1871,01 - Northland,1N,104,7.71999979019165,About 150m south of Empire St Kaitaia,Both,Non-Continuous,Dual Loop,28.0,01N00112,Regional Non-Continuous,3.3,4498.0,4621.0,4841.0,4967.0,4857.0,49
1626770.5841,6112949.248,01 - Northland,1N,104,11.0600004196167,Sth (physically East) of Fryer Rd (about 1.3km W of Ruaroa Rd),Both,Non-Continuous,Dual Loop,21.0,01N00117,Regional Non-Continuous,4.3,2542.0,2724.0,2835.0,2456.0,2490.0,50
1639516.5156,6108651.741,01 - Northland,1N,119,11.460000038147,Nth of Ramseys Bridge Mangataiore,Both,Non-Continuous,Dual Loop,38.0,01N00130,Regional Non-Continuous,7.7,730.0,500.0,1124.0,165.0,426.0,51
1664400.4262,6094767.8339,01 - Northland,1N,167,4.34999990463257,Sth of Sturge Rd (near Lewis Rd Waihou Valley),Both,Non-Continuous,Dual Loop,21.0,01N00171,Regional Non-Continuous,7.3,1460.0,1446.0,1606.0,1197.0,1335.0,52
1674646.9674,6089353.4587,01 - Northland,1N,167,17.5,Nth of Bullman Rd,Both,Non-Continuous,Dual Loop,28.0,01N00184,Regional Non-Continuous,6.4,2810.0,3153.0,2748.0,2337.0,2426.0,53
1679740.3707,6087948.4711,01 - Northland,1N,185,5.16200017929077,Sth of Mason Culvert (about 500m N of SH12 Ohaeawai),Both,Continuous,Dual Loop,365.0,01N00190,Regional Continuous,6.5,1376.0,1348.0,1440.0,1150.0,1218.0,54
1682081.0876,6088425.3996,01 - Northland,1N,190,2.13000011444092,North (actually 150m west) of Old Bay Road 2km east of Ohaeawai.,Both,Non-Continuous,Dual Loop,14.0,01N00192,Regional Non-Continuous,5.1,4717.0,5301.0,5114.0,4755.0,4555.0,55
1686965.8749,6086940.8292,01 - Northland,1N,198,0.0500000007450581,About 50m east of SH10 junction Pakaraka,Both,Non-Continuous,Dual Loop,28.0,01N00198,Regional Non-Continuous,8.3,6753.0,7253.0,,7206.0,7518.0,56
1693396.6656,6084080.8016,01 - Northland,1N,198,8.59000015258789,West of Saies Rd just east of Moerewa,Both,Non-Continuous,Dual Loop,28.0,01N00207,Regional Non-Continuous,6.9,8289.0,8787.0,8530.0,9687.0,8972.0,57
1694877.2273,6084786.3693,01 - Northland,1N,198,10.2200002670288,Nth of Williams Bridge about 1.2km NW of Kawakawa ,Both,Non-Continuous,Dual Loop,28.0,01N00209,Regional Non-Continuous,7.1,8124.0,9361.0,8298.0,9503.0,7804.0,58
1697198.728,6084237.6348,01 - Northland,1N,198,13.1999998092651,Queen St Kawakawa just W of junc with SH11,Both,Non-Continuous,Dual Loop,34.0,01N00211,Regional Non-Continuous,7.0,8766.0,10016.0,9117.0,10275.0,7966.0,59
1697357.85,6083013.5395,01 - Northland,1N,211,1.27999997138977,KAWAKAWA - Telemetry Site 18 about 1.2km south of SH11,Both,National,Telemetry,361.0,01N00212,Telemetry,10.5,6843.0,6856.0,7242.0,7395.0,7583.0,60
1711351.1276,6067244.6164,01 - Northland,1N,233,5.11700010299683,North of Waiotu Block Rd ,Both,Non-Continuous,Dual Loop,28.0,01N00238,Regional Non-Continuous,9.1,6617.0,7033.0,6972.0,7439.0,7614.0,61
1716426.8922,6063100.0079,01 - Northland,1N,245,1.02999997138977,About 1100m south of Corbett Rd/Whananaki North Rd,Both,Non-Continuous,Dual Loop,28.0,01N00246,Regional Non-Continuous,8.3,9316.0,9431.0,9784.0,10231.0,10164.0,62
1716849.4389,6057300.0841,01 - Northland,1N,245,7.10699987411499,500m north of Mower Road Kauri,Both,Non-Continuous,Dual Loop,28.0,01N00254,Regional Non-Continuous,7.8,12265.0,13191.0,12255.0,15305.0,13185.0,63
1717358.4049,6054864.2009,01 - Northland,1N,245,9.69999980926514,About 400m north of Apotu Rd & south arm of Salesyards Rd Kauri,Both,Non-Continuous,Dual Loop,28.0,01N00255,Regional Non-Continuous,7.9,11784.0,12052.0,11696.0,13559.0,12725.0,64
1718819.276,6045932.8826,01 - Northland,1N,258,2.14100003242493,Kamo Bypass about 250m north of Kamo Rd (just N of railway bridge),Both,Non-Continuous,Dual Loop,28.0,01N00260,Regional Non-Continuous,7.7,11402.0,12498.0,12336.0,12807.0,13067.0,65
1718887.5534,6049019.0166,01 - Northland,1N,258,3.34100008010864,Kamo Bypass south of Pone Rere Drive,Both,Non-Continuous,Dual Loop,28.0,01N00261,Regional Non-Continuous,5.8,16688.0,18973.0,18927.0,21846.0,16110.0,66
1718485.0045,6050091.6487,01 - Northland,1N,258,4.2480001449585,50m N of Titoki Place 200m S of Percy St Whau Valley,Both,Non-Continuous,Dual Loop,28.0,01N00262,Regional Non-Continuous,5.0,20113.0,22592.0,22200.0,25233.0,21618.0,67
1718970.0223,6046416.096,01 - Northland,1N,258,6.15000009536743,Western Hills Drive about 350m north of Selwyn Avenue Whangarei,Both,Continuous,Dual Loop,306.0,01N00264,Regional Continuous,4.2,24951.0,27566.0,25145.0,25489.0,24222.0,68
1718533.4187,6044305.7179,01 - Northland,1N,266,0.717000007629395,Otakia Rd N of Raumanga Valley Rd 100m S of Tarewa Rd Whangarei,Both,Non-Continuous,Dual Loop,28.0,01N00267,Regional Non-Continuous,4.0,21737.0,29813.0,23512.0,28251.0,27522.0,69
1718312.7895,6042977.6165,01 - Northland,1N,266,2.21000003814697,Imm S of Cemetery Bridge 100m N of Tauroa St Raumanga,Both,Non-Continuous,Dual Loop,27.0,01N00268,Regional Non-Continuous,6.1,17908.0,18790.0,19432.0,19602.0,19970.0,70
1718350.5702,6039829.767,01 - Northland,1N,266,5.51000022888184,About 400m north of northern Loop Rd exit north of Otaika,Both,Non-Continuous,Dual Loop,21.0,01N00271,Regional Non-Continuous,7.7,17553.0,17842.0,18808.0,18925.0,19623.0,71
1716948.5497,6038000.9233,01 - Northland,1N,272,2.08699989318848,Nth of Maungakaramea Rd Puwera,Both,Continuous,Dual Loop,350.0,01N00274,Regional Continuous,8.2,16512.0,16282.0,17520.0,17413.0,17852.0,72
1726306.6629,6029811.5693,01 - Northland,1N,273,13.6800003051758,About 300m north of Yovich Rd/Flyger Rd,Both,Non-Continuous,Dual Loop,28.0,01N00287,Regional Non-Continuous,8.6,13442.0,13380.0,14921.0,14657.0,15863.0,73
1731301.6285,6021395.2476,01 - Northland,1N,292,6.27199983596802,Nth of Uretiti Rd about 2.5km S of Ruakaka,Both,Non-Continuous,Dual Loop,21.0,01N00299,Regional Non-Continuous,8.7,11597.0,13622.0,12040.0,13547.0,10524.0,74
1727847.9252,6015445.6736,01 - Northland,1N,303,2.65000009536743,About 400m south of Glenmohr Rd about 650m N of Schultz Rd,Both,Non-Continuous,Dual Loop,14.0,01N00309,Regional Non-Continuous,4.2,8962.0,12835.0,9798.0,10341.0,1837.0,75
1733605.2406,5990367.1338,01 - Northland,1N,319,17.1200008392334,WELLSFORD - Telemetry Site 17,Both,National,Telemetry,301.0,01N00336,Telemetry,10.9,9844.0,8759.0,10471.0,11461.0,12646.0,76
1718905.6447,6048980.0749,01 - Northland,1N,258,3.34100008010864,Kamo Bypass south of Pone Rere Drive- Inc(SB),Inc,Non-Continuous,Dual Loop,,01N10261,Regional Non-Continuous,5.8,9951.0,9819.0,10549.0,12900.0,9655.0,77
1718970.9946,6046427.0947,01 - Northland,1N,258,6.08799982070923,Western Hills Drive about 350m north of Selwyn Avenue - Inc,Inc,Continuous,Dual Loop,,01N10264,Regional Continuous,4.3,12558.0,14316.0,12877.0,13412.0,13828.0,78
1718415.4929,6045498.0238,01 - Northland,1N,258,7.40000009536743,About 180m south of Selwyn Avenue - Inc (S/B),Inc,Non-Continuous,Dual Loop,,01N10265,Regional Non-Continuous,,13016.0,15074.0,13273.0,15012.0,,79
1718905.6447,6048980.0749,01 - Northland,1N,258,3.34100008010864,Kamo Bypass south of Pone Rere Drive- Dec(NB),Dec,Non-Continuous,Dual Loop,,01N20261,Regional Non-Continuous,5.8,9047.0,9168.0,9907.0,11993.0,8605.0,80
1718970.9946,6046427.0947,01 - Northland,1N,258,6.08799982070923,Western Hills Drive about 350m north of Selwyn Avenue - Dec,Dec,Continuous,Dual Loop,,01N20264,Regional Continuous,4.2,12156.0,13568.0,12286.0,13086.0,12885.0,81
1718415.4929,6045498.0238,01 - Northland,1N,258,7.40000009536743,About 180m south of Selwyn Avenue - Dec (N/B),Dec,Non-Continuous,Dual Loop,,01N20265,Regional Non-Continuous,,12815.0,14535.0,12465.0,17892.0,,82
1729332.2785,6027135.7758,01 - Northland,1N,291,0.0,RAB of Port Marsden Hwy,Ramp,Virtual,Virtual,,01N80291,Virtual,10.0,17302.0,17332.0,18878.0,18301.0,19533.0,83
1757752.1124,5919671.3865,02 - Auckland,16,0,0.699999988079071,SH16 Stanley St East of Alten Rd - Virtual,Both,Virtual,Virtual,,01600001,Virtual,,43954.0,42841.0,47563.0,49563.0,49982.0,84
1741079.1755,5927502.6254,02 - Auckland,16,19,0.610000014305115,SH16 Sth of Coatesville Riverhead Highway,Both,Continuous,Dual Loop,357.0,01600023,Regional Continuous,4.1,34550.0,34800.0,37768.0,36879.0,37275.0,85
1740828.1167,5927551.1056,02 - Auckland,16,19,1.71000003814697,SH16 Nth of Coatesville Riverhead Highway,Both,Continuous,Dual Loop,83.0,01600024,Regional Continuous,4.1,27025.0,27218.0,29177.0,28175.0,30160.0,86
1738499.5038,5929019.107,02 - Auckland,16,19,5.36999988555908,SH16 Nth of Access Rd,Both,Continuous,Dual Loop,366.0,01600027,Regional Continuous,3.0,20660.0,20844.0,22734.0,21610.0,23001.0,87
1735754.1977,5929897.3368,02 - Auckland,16,19,7.96000003814697,SH16 Sth of Matua Rd (Nth),Both,Continuous,Dual Loop,,01600031,Regional Continuous,5.1,13868.0,14348.0,15167.0,14189.0,14200.0,88
1734414.2212,5930009.5754,02 - Auckland,16,19,9.3100004196167,SH16 Sth of Joyce Adams Pl,Both,Non-Continuous,Dual Loop,,01600032,Regional Non-Continuous,4.1,13800.0,14300.0,15100.0,14100.0,14100.0,89
1728268.1831,5935035.91,02 - Auckland,16,37,3.19000005722046,SH16 Sth of Hutchison Rd,Both,Continuous,Dual Loop,366.0,01600040,Regional Continuous,8.0,4953.0,4973.0,5421.0,5154.0,4969.0,90
1728958.4947,5940118.181,02 - Auckland,16,47,0.280000001192093,SH16 Sth of Helensville Rail Bridge,Both,Continuous,Dual Loop,320.0,01600048,Regional Continuous,4.9,6900.0,6350.0,7242.0,7156.0,7263.0,91
1731076.4057,5943763.7796,02 - Auckland,16,47,7.15999984741211,SH16 Sth of Inland Rd,Both,Continuous,Dual Loop,144.0,01600055,Regional Continuous,6.2,3637.0,3643.0,3920.0,3941.0,4029.0,92
1733946.369,5946336.2676,02 - Auckland,16,47,11.9799995422363,SH16 Nth of Kahikatea Flat Rd (Kaukapakapa Bridge),Both,Continuous,Dual Loop,364.0,01600058,Regional Continuous,4.8,5221.0,5602.0,5939.0,5651.0,5182.0,93
1732956.145,5949377.4961,02 - Auckland,16,47,16.1200008392334,SH16 Sth of Quail Rd,Both,Continuous,Dual Loop,287.0,01600063,Regional Continuous,5.4,2933.0,3114.0,3562.0,3268.0,2773.0,94
1729724.6559,5960208.9953,02 - Auckland,16,69,7.32000017166138,SH16 Nth of West Coast Rd,Both,Continuous,Dual Loop,361.0,01600076,Regional Continuous,8.5,1564.0,1619.0,2049.0,1722.0,1197.0,95
1730362.2025,5973530.0677,02 - Auckland,16,82,9.43000030517578,SH16 Tauhoa Bridge,Both,Continuous,Dual Loop,323.0,01600092,Regional Continuous,9.6,1429.0,1469.0,1905.0,1638.0,1099.0,96
1734511.4969,5980959.5496,02 - Auckland,16,92,11.1499996185303,SH16 Nth of Port Albert Rd,Both,Continuous,Dual Loop,366.0,01600103,Regional Continuous,7.0,2485.0,2462.0,2726.0,2644.0,2229.0,97
1757641.4586,5919504.1759,02 - Auckland,16,0,1.29999995231628,SH16 Alten Rd to Grafton Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610001,Virtual,,25078.0,24226.0,27288.0,28187.0,28550.0,98
1757615.5657,5919452.1277,02 - Auckland,16,0,2.0,SH16 SH1 Off Ramp to Wellesley St On Ramp WB,Inc,Continuous,ATMS (Dual Loop),171.0,01610002,Regional Continuous,4.8,12948.0,13581.0,15064.0,15735.0,15603.0,99
1756587.3705,5919093.0826,02 - Auckland,16,0,3.0,SH16 Northern Off Ramp to SH1 On Ramp WB - Virtual,Inc,Virtual,SCATS,,01610003,Virtual,7.6,12618.0,12513.0,13722.0,14119.0,14474.0,100
1756336.7405,5918919.5918,02 - Auckland,16,0,3.40000009536743,SH16 SH1 On Ramp to Northern / Hobson St On Ramp WB - Virtual,Inc,Virtual,Virtual,,01610004,Virtual,3.6,30622.0,31096.0,33957.0,33988.0,34601.0,101
1755621.0911,5918278.2053,02 - Auckland,16,0,5.0,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610005,Virtual,3.6,63741.0,64395.0,71217.0,73166.0,74609.0,102
1754927.1271,5918289.8093,02 - Auckland,16,0,6.05999994277954,SH16 St Lukes Rd Interchange WB,Inc,Continuous,ATMS (Dual Loop),363.0,01610006,Regional Continuous,3.6,50412.0,50996.0,56527.0,58418.0,59314.0,103
1752568.8509,5918038.0974,02 - Auckland,16,0,7.0,SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610007,Virtual,3.6,59867.0,60666.0,67163.0,69250.0,70804.0,104
1751858.1753,5917911.6847,02 - Auckland,16,0,8.5,SH16 Great Nth Rd Interchange WB,Inc,Continuous,ATMS (Dual Loop),366.0,01610008,Regional Continuous,4.1,30052.0,30871.0,33769.0,34082.0,35252.0,105
1748907.4774,5918418.7116,02 - Auckland,16,7,2.5699999332428,SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,Inc,Continuous,ATMS (Dual Loop),366.0,01610009,Regional Continuous,4.0,49592.0,51112.0,56081.0,58963.0,60889.0,106
1748170.9734,5919211.1401,02 - Auckland,16,7,3.20000004768372,SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610010,Virtual,4.6,56958.0,58636.0,64192.0,67518.0,69408.0,107
1747447.355,5919562.6437,02 - Auckland,16,7,4.01999998092651,SH16 Te Atatu Rd Interchange WB,Inc,Continuous,ATMS (Dual Loop),363.0,01610011,Regional Continuous,4.6,37891.0,39148.0,43561.0,45562.0,47588.0,108
1746394.3621,5920122.4564,02 - Auckland,16,7,5.19999980926514,SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610012,Virtual,4.6,46773.0,48491.0,53449.0,55954.0,58022.0,109
1745697.5566,5920567.9965,02 - Auckland,16,7,5.8600001335144,SH16 Lincoln Rd Interchange WB,Inc,Continuous,ATMS (Dual Loop),349.0,01610013,Regional Continuous,2.9,29927.0,31569.0,35564.0,38963.0,39556.0,110
1744742.9956,5921406.9609,02 - Auckland,16,7,7.30000019073486,SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB - Virtual,Inc,Virtual,Virtual,,01610014,Virtual,2.9,40292.0,42409.0,47459.0,50541.0,52768.0,111
1744397.7446,5922546.1058,02 - Auckland,16,7,9.18000030517578,SH16 Royal Rd Off Ramp to Hobsonville Rd / SH18 Off Ramp WB,Inc,Continuous,ATMS (Dual Loop),356.0,01610016,Regional Continuous,2.9,32382.0,33893.0,38134.0,40319.0,42378.0,112
1743529.7959,5925049.9882,02 - Auckland,16,7,11.1999998092651,SH16 Hobsonville Rd / SH18 Off Ramp to Brigham Creek Rd Roundabout WB,Inc,Continuous,ATMS (Dual Loop),364.0,01610018,Regional Continuous,4.1,9479.0,9877.0,10692.0,10715.0,11027.0,113
